"","$\zeta/(\epsilon - \delta)$","burkei","californica","chrysantha","conjugens","coulteri","debilis","ferrisiae","fremontii","glaberrima","glabrata","gracilis","microglossa","minor","platycarpha"
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica","-0.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","-1.37","-0.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,"0.45","1.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri","-0.64",NA,"0.73","-0.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis","-1.21","-0.68",NA,"-1.13","-0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae","-0.72",NA,"0.65","-0.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii",NA,NA,"1.08",NA,NA,"0.93","0.43",NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,"0.46","1.29",NA,"0.56","1.14","0.64",NA,NA,NA,NA,NA,NA,NA
"10","glabrata","-0.78",NA,NA,"-0.7",NA,NA,NA,"-0.5","-0.71",NA,NA,NA,NA,NA
"11","gracilis","-0.87",NA,NA,"-0.79",NA,NA,NA,"-0.58","-0.79",NA,NA,NA,NA,NA
"12","microglossa","-0.65",NA,"0.71","-0.57",NA,NA,NA,NA,"-0.58",NA,NA,NA,NA,NA
"13","minor","-0.91",NA,NA,"-0.82",NA,NA,NA,"-0.62","-0.83",NA,NA,NA,NA,NA
"14","platycarpha","-1.62","-1.08",NA,"-1.53","-0.98",NA,"-0.9","-1.33","-1.54","-0.83","-0.75","-0.96",NA,NA
