"","$\delta$","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,NA,"-3.2",NA,"-2.1","-2.1","-1.9","-2",NA,NA,NA,NA,NA,NA
"10","glabrata",NA,NA,NA,NA,NA,NA,NA,NA,"1.7",NA,NA,NA,NA,NA
"11","gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","microglossa",NA,NA,NA,NA,NA,NA,NA,NA,"2.7",NA,NA,NA,NA,NA
"13","minor",NA,NA,NA,NA,NA,NA,NA,NA,"1.8",NA,NA,NA,NA,NA
"14","platycarpha",NA,NA,NA,NA,NA,NA,NA,NA,"2.3",NA,NA,NA,NA,NA
