"","optima","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis",NA,NA,"-0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii",NA,NA,"-0.6",NA,"-0.5",NA,"-0.5",NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,NA,"-0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","glabrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","gracilis",NA,NA,"-0.5",NA,"-0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","microglossa",NA,NA,NA,NA,NA,"0.6",NA,"0.8","0.6",NA,"0.6",NA,NA,NA
"13","minor",NA,NA,NA,NA,NA,"0.3",NA,"0.5","0.4",NA,"0.4",NA,NA,NA
"14","platycarpha",NA,NA,"-0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
